title,album,released_at,disc_no,track_no,notes
Mikazuki Sunset,GO TO THE FUTURE,2007,1,1,
Inner World,GO TO THE FUTURE,2007,1,2,
Amefura,GO TO THE FUTURE,2007,1,3,
Go to the Future,GO TO THE FUTURE,2007,1,4,
Fukurō,GO TO THE FUTURE,2007,1,5,
Kaika,GO TO THE FUTURE,2007,1,6,
Shiranami Top Water,GO TO THE FUTURE,2007,1,7,
Yoru no Higashigawa,GO TO THE FUTURE,2007,1,8,
ワード,NIGHT FISHING,2008,1,1,
サンプル,NIGHT FISHING,2008,1,2,
ナイトフィッシングイズグッド,NIGHT FISHING,2008,1,3,
雨は気まぐれ,NIGHT FISHING,2008,1,4,
マレーシア32,NIGHT FISHING,2008,1,5,
うねり,NIGHT FISHING,2008,1,6,
ティーンエイジ,NIGHT FISHING,2008,1,7,
哀愁トレイン,NIGHT FISHING,2008,1,8,
新しい世界,NIGHT FISHING,2008,1,9,
アムスフィッシュ,NIGHT FISHING,2008,1,10,
Ame (B),シンシロ,2009,1,1,
ライトダンス,シンシロ,2009,1,2,
セントレイ,シンシロ,2009,1,3,
ネイティブダンサー,シンシロ,2009,1,4,
minnanouta,シンシロ,2009,1,5,
雑踏,シンシロ,2009,1,6,
黄色い車,シンシロ,2009,1,7,
enough,シンシロ,2009,1,8,
涙ディライト,シンシロ,2009,1,9,
アドベンチャー,シンシロ,2009,1,10,
human,シンシロ,2009,1,11,
Intro = Kikuuiki,kikUUiki,2010,1,1,
Ushio,kikUUiki,2010,1,2,
YES NO,kikUUiki,2010,1,3,
Aruku Around,kikUUiki,2010,1,4,
Klee,kikUUiki,2010,1,5,
21.1,kikUUiki,2010,1,6,
Under,kikUUiki,2010,1,7,
Coelacanth to Boku,kikUUiki,2010,1,8,
Ashita kara,kikUUiki,2010,1,9,
Omotesandō Nijūroku-ji,kikUUiki,2010,1,10,
Kabe,kikUUiki,2010,1,11,
Me ga Aku Aiiro,kikUUiki,2010,1,12,
Paradise of Sunny,kikUUiki,2010,1,13,
RL,DocumentaLy,2011,1,1,
アイデンティティ,DocumentaLy,2011,1,2,
モノクロトウキョー,DocumentaLy,2011,1,3,
ルーキー,DocumentaLy,2011,1,4,
アンタレスと針,DocumentaLy,2011,1,5,
仮面の街,DocumentaLy,2011,1,6,
流線,DocumentaLy,2011,1,7,
エンドレス,DocumentaLy,2011,1,8,
DocumentaRy,DocumentaLy,2011,1,9,
『バッハの旋律を夜に聴いたせいです。』,DocumentaLy,2011,1,10,
years,DocumentaLy,2011,1,11,
ドキュメント,DocumentaLy,2011,1,12,
Intro,sakanaction,2013,1,1,
Inori,sakanaction,2013,1,2,
Music,sakanaction,2013,1,3,
Yoru No Odoriko,sakanaction,2013,1,4,
Nantettatte Haru,sakanaction,2013,1,5,
Aldebaran,sakanaction,2013,1,6,
M,sakanaction,2013,1,7,
Aoi,sakanaction,2013,1,8,
Boil,sakanaction,2013,1,9,
Eiga,sakanaction,2013,1,10,
Boku To Hana,sakanaction,2013,1,11,
Mellow,sakanaction,2013,1,12,
Structure,sakanaction,2013,1,13,
Asa No Uta,sakanaction,2013,1,14,
忘れられないの,834.194,2019,1,1,
マッチとピーナッツ,834.194,2019,1,2,
陽炎,834.194,2019,1,3,
多分、風。,834.194,2019,1,4,
新宝島,834.194,2019,1,5,
モス,834.194,2019,1,6,
「聴きたかったダンスミュージック、リキッドルームに」,834.194,2019,1,7,
ユリイカ (Shotaro Aoyama Remix),834.194,2019,1,8,
セプテンバー –東京 version–,834.194,2019,1,9,
グッドバイ,834.194,2019,2,1,
蓮の花 -single version-,834.194,2019,2,2,
ユリイカ,834.194,2019,2,3,
ナイロンの糸,834.194,2019,2,4,
茶柱,834.194,2019,2,5,
ワンダーランド,834.194,2019,2,6,
さよならはエモーション,834.194,2019,2,7,
834.194,834.194,2019,2,8,
セプテンバー –札幌 version–,834.194,2019,2,9,
"years (Setsuya Kurotaki ""NF Remix"")",834.194,2019,3,1,
塔,アダプト,2022,1,1,
キャラバン,アダプト,2022,1,2,
月の椀,アダプト,2022,1,3,
プラトー,アダプト,2022,1,4,
ショック!,アダプト,2022,1,5,
エウリュノメー,アダプト,2022,1,6,
シャンディガフ,アダプト,2022,1,7,
フレンドリー,アダプト,2022,1,8,
DocumentaRy of ADAPT,アダプト,2022,1,9,
